,rxn_smiles,ddG (kcal/mol),ee (%),acceptor_smiles,donor_smiles,donor_active_smiles,reactants_couples_smiles,reactants_active_couples_smiles,additives_smiles,solvents_smiles,catalyst_smiles,catalysts_pre_smiles,ligands_smiles,ligand_name,Ligand Name,metal,conditions,products_smiles,dative_rxn_smiles,dative_active_rxn_smiles,pure_rxn_smiles,pure_active_rxn_smiles,rxn_active_smiles,Ref.(DOI),temperature (C),pesudo_active_donor_rxn_smiles,donor_smiles_pesudo_active,no_extra_dative_rxn_smiles,no_extra_dative_pesudo_active_donor_rxn_smiles,yield (%),de (%)
0,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,2.279681968,95,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc(cc1)C(F)(F)F,CCOC(=O)CC(=O)NCc1ccccc1,CCOC(=O)C=C([O-])NCC1=CC=CC=C1,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc(cc1)C(F)(F)F.CCOC(=O)CC(=O)NCc1ccccc1,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc(cc1)C(F)(F)F.CCOC(=O)C=C([O-])NCC1=CC=CC=C1,CCN(CC)CC,ClCCl,Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3,[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F,O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C,L3-PiMe2,L$_3$-PiMe$_2$,Yb,CCN(CC)CC.ClCCl.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C,CCOC(=O)[C@@H]1C(=O)N(Cc2ccccc2)C(=O)C[C@H]1c1ccc(cc1)C(F)(F)F,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1>CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1>CCN(CC)CC.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,10.1002/chem.201603056,40,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH2-:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,[CH2-]COC(=O)CC(=O)NCC1=CC=CC=C1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>ClCCl.CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@+]4([O-]->2)CCCC[C@@H]14)[O-]->3>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]2)c(C)c1.[CH2-:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>ClCCl.CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@+]4([O-]->2)CCCC[C@@H]14)[O-]->3>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]([C:27]([F:28])([F:29])[F:30])[cH:25][cH:26]1,96.0,90.0
2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,1.832201856,90,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc2c(c1)cccc2,CCOC(=O)CC(=O)NCc1ccccc1,CCOC(=O)C=C([O-])NCC1=CC=CC=C1,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc2c(c1)cccc2.CCOC(=O)CC(=O)NCc1ccccc1,Cc1nn(c(c1)C)C(=O)/C=C/c1ccc2c(c1)cccc2.CCOC(=O)C=C([O-])NCC1=CC=CC=C1,CCN(CC)CC,ClCCl,Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3,[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F,O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C,L3-PiMe2,L$_3$-PiMe$_2$,Yb,CCN(CC)CC.ClCCl.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C,CCOC(=O)[C@@H]1C(=O)N(Cc2ccccc2)C(=O)C[C@H]1c1ccc2c(c1)cccc2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23(<-O)(<-O)(<-O)<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@@+]4(CCCC[C@@H]14)[O-]->2)[O-]->3.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([O-:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>CCN(CC)CC.[Yb+3].FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.FC(S(=O)(=O)[O-1])(F)F.O=C([C@@H]1CCCC[N@@+]1([O-1])CCC[N@+]1([O-1])CCCC[C@H]1C(=O)Nc1c(C)cccc1C)Nc1c(C)cccc1C.ClCCl>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,10.1002/chem.201603056,40,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH2-:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,[CH2-]COC(=O)CC(=O)NCC1=CC=CC=C1,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>ClCCl.CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@+]4([O-]->2)CCCC[C@@H]14)[O-]->3>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,Cc1nn([C:17](=[O:18])/[CH:19]=[CH:20]/[c:21]2[cH:22][cH:23][c:24]3[c:25]([cH:26]2)[cH:27][cH:28][cH:29][cH:30]3)c(C)c1.[CH2-:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[NH:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>ClCCl.CCN(CC)CC.Cc1cccc(C)c1NC1=O->[Yb+3]23<-O=C(Nc4c(C)cccc4C)[C@@H]4CCCC[N@+]4(CCC[N@+]4([O-]->2)CCCC[C@@H]14)[O-]->3>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]1[C:7](=[O:8])[N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:17](=[O:18])[CH2:19][C@H:20]1[c:21]1[cH:22][cH:23][c:24]2[c:25]([cH:26]1)[cH:27][cH:28][cH:29][cH:30]2,94.0,81.98198198
